"day","month","temp_min","temp_max"
1,"January",-9.5337181324081,-2.42878970241575
2,"January",-12.9026934878882,-0.111715098146883
3,"January",-15.7680555747862,-3.64860026973737
4,"January",-16.5923939724659,-5.13244829548087
5,"January",-9.92486847561353,-0.143999652105917
6,"January",-8.67285131185325,-3.0768410200313
7,"January",-16.6223590934615,-6.04029234129632
8,"January",-9.45705788750503,-6.60783406745045
9,"January",-18.6500643471539,1.4786691164899
10,"January",-9.63853698358441,0.30903226840599
11,"January",-8.40500601007557,-6.96373677345934
12,"January",-11.2596762654768,-1.76497218218315
13,"January",-8.40365584957934,-5.24050175667974
14,"January",-13.1685570803264,-1.20743683497556
15,"January",-8.84235555811026,-1.07747019757325
16,"January",-11.1639602089443,-3.22517950128389
17,"January",-8.54649486051148,0.959318568145421
18,"January",-12.258493098449,4.19245245239006
19,"January",-8.90362922024494,-2.14336273519188
20,"January",-8.7263479320863,-1.82885232806866
21,"January",-11.8529103220854,-3.32777650327224
22,"January",-11.1508084472119,-4.74110243329059
23,"January",-7.86364561140853,-4.31976638468562
24,"January",-12.4033030306784,-4.00170451655292
25,"January",-5.31968445010688,-5.79682414577213
26,"January",-9.06050578509948,-3.76671741246223
27,"January",-13.8619072090636,-9.44359795063187
28,"January",-15.1218353635056,-0.145743931861315
29,"January",-8.34414024547448,-5.83461325809535
30,"January",-13.7037559027184,-5.84636220545543
31,"January",-15.9387268998572,-0.438834554498984
